"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","OBD Header"
"[T2] BMW Ignition angle actual","IgnAct","2259FA","SIGNED(A)*0.75","-60","60","degKW","7DF"
"[T2] BMW Ignition angle output","IgnOut","2259FC","SIGNED(A)*0.75","-60","60","degKW","7DF"
"[T2] BMW Generator current","GenA","224604","SIGNED(A*256+B)*0.125","-200","200","A","7DF"
"[T2] BMW Battery current","BattA","224606","(A*256+B)*0.08-200","-200","200","A","7DF"
"[T2] BMW IBS battery voltage","IBS_V","225853","(A*256+B)*0.001","0","16","V","7DF"
"[T2] BMW IBS battery current","IBS_A","225852","(A*256+B)*0.02-200","-200","200","A","7DF"
"[T2] BMW IBS battery temp","IBS_T","225854","A*0.75-48","-40","150","C","7DF"
"[T2] BMW Fuel temp","FuelT","224AD5","A*0.75-48","-40","150","C","7DF"
"[T2] BMW Fuel mass flow","FuelFlow","224521","(A*256+B)*0.1","0","800","kg/h","7DF"
"[T2] BMW Fuel consumption regulated","ConsReg","224AC0","(A*256+B)*0.00389105058366","0","50","l/h","7DF"
"[T2] BMW Throttle mass flow","ThrFlow","224206","(A*256+B)*0.03125","0","800","kg/h","7DF"
"[T2] BMW Throttle angle","ThrAng","224600","SIGNED(A*256+B)*0.0244140625","0","100","%","7DF"
"[T2] BMW Radiator outlet coolant","RadOut","225890","A*0.75-48","-40","150","C","7DF"
"[T2] BMW Actual gear (DME)","GearDME","225881","A","0","10","","7DF"
"[T2] BMW Trans input torque","TQ_In","225717","SIGNED(A*256+B)*0.1","-100","500","Nm","7DF"
"[T2] BMW Gear input speed","InShaft","224683","(A*256+B)*0.1453421","0","7000","1/min","7DF"
"[T2] BMW Oil kilometers","OilKm","224404","(A*256+B)*10","0","50000","km","7DF"
"[T2] BMW Oil life months","OilLife","224412","(A*256+B)","0","36","mth","7DF"
"[T2] BMW IAT before throttle","IATpre","2259D4","(A*256+B)*0.0234375-273.15","-40","150","C","7DF"
"[T2] BMW Boost control difference","BstDiff","224536","SIGNED(A*256+B)*0.125","-500","500","hPa","7DF"
"[T2] BMW Electric fan duty","FanDC","224611","A","0","100","","7DF"
"[T2] BMW Water pump actual speed","WpRpm","2258EA","A","0","7000","1/min","7DF"
"[T2] BMW Timing cyl1","IgnCyl1","224A49","SIGNED(A*256+B)*0.1","-60","60","degKW","7DF"
"[T3] BMW Battery voltage AD","BattVad","22583C","A*0.0942","0","16","V","7DF"
"[T3] BMW Battery temp","BattT","22589F","A*0.75-48","-40","150","C","7DF"
"[T3] BMW NV battery SOC","SOC","225916","A*0.5","0","100","%","7DF"
"[T3] BMW Relative oil level","OilLvl","225866","A","0","100","","7DF"
"[T3] BMW Oil level raw mm","OilLvlmm","22442C","A","0","200","mm","7DF"
"[T3] BMW Engine start temp","StartT","225882","A*0.75-48","-40","150","C","7DF"
"[T3] BMW Engine temp at shutdown","OffT","2258D1","A*0.75-48","-40","150","C","7DF"
"[T3] BMW Long acceleration","AccLong","224811","SIGNED(A)*0.217","-20","20","m/s2","7DF"
"[T3] BMW Lat acceleration","AccLat","224812","SIGNED(A*256+B)*0.0015625","-20","20","m/s2","7DF"
"[T3] BMW Engine speed hi-res","RPMhi","22592A","SIGNED(A*256+B)*0.5","0","7000","1/min","7DF"
"[ZF] BMW ZF8 ATF (EGS DA12 try A-40)","ATF_EGS","22DA12","A-40","-40","150","C","618"
"[ZF] BMW ZF8 ATF (EGS DA12 try x0.75)","ATF_EGS2","22DA12","A*0.75-48","-40","150","C","618"
